N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	1.5	19.33333	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1.885
1	2	1	1	6	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.882
1	3	1	1	1.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.915
1	4	1	1	1.5	21.66667	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1.364
1	5	1	1	6	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.601
1	6	1	1	10.5	21.66667	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.446
1	7	1	1	10.5	21.66667	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.558
1	8	1	1	10.5	19.33333	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.435
1	9	1	1	10.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.435
1	10	1	1	1.5	21.66667	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.446
1	11	1	1	1.5	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.48
1	12	1	1	6	19.33333	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.479
1	13	1	1	6	21.66667	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.402
1	14	1	1	10.5	19.33333	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.982
1	15	1	1	6	21.66667	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.983
1	16	1	1	1.5	19.33333	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.737
1	17	1	1	10.5	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	2.211
1	18	1	1	6	19.33333	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.659
2	1	1	3	10.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.462
2	2	1	3	6	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	2.236
2	3	1	3	6	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1.117
2	4	1	3	1.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.432
2	5	1	3	1.5	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.282
2	6	1	3	10.5	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.602
3	1	1	2	1.5	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	3.391
3	2	1	2	1.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1.554
3	3	1	2	10.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.704
3	4	1	2	6	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1.451
3	5	1	2	10.5	17	1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.715
3	6	1	2	6	17	0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	0.937
4	1	1	2	4		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	950.679
4	2	1	2	5.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	1487.0596
4	3	1	2	7		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	603.9304
4	4	1	2	8.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	435.31
4	5	1	2	4		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	413.3147
4	6	1	2	5.5		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	368.7653
4	7	1	2	7		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	759.0181
4	8	1	2	8.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	256.6817
4	9	1	2	4		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	212.1506
4	10	1	2	5.5		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	312.7233
4	11	1	2	7		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	178.6503
4	12	1	2	8.5		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	167.6169
4	13	1	2	4		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	167.6001
4	14	1	2	5.5		0	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	167.6196
4	15	1	2	7		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	178.6466
4	16	1	2	8.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	190.1149
4	17	1	2	4		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	200.6423
4	18	1	2	5.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	167.1188
4	19	1	2	7		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	201.6438
4	20	1	2	8.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	345.7962
4	21	1	2	4		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	223.1388
4	22	1	2	5.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	190.1349
4	23	1	2	7		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	324.2521
4	24	1	2	8.5		1	105.57	112.86	115.5	57.36	80.75	79.37	-45.66638	-28.45118	-31.28138	770.528
