N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	2	4		1	0	0	0	0	0	0	0	0	0	1474.0971
1	2	1	2	5.5		1	0	0	0	0	0	0	0	0	0	277.3064
1	3	1	2	7		1	0	0	0	0	0	0	0	0	0	156.1949
1	4	1	2	8.5		1	0	0	0	0	0	0	0	0	0	134.1302
1	5	1	2	4		1	0	0	0	0	0	0	0	0	0	134.2484
1	6	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.0377
1	7	1	2	7		1	0	0	0	0	0	0	0	0	0	134.0221
1	8	1	2	8.5		1	0	0	0	0	0	0	0	0	0	145.1761
1	9	1	2	4		1	0	0	0	0	0	0	0	0	0	145.2716
1	10	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.1232
1	11	1	2	7		1	0	0	0	0	0	0	0	0	0	145.3991
1	12	1	2	8.5		1	0	0	0	0	0	0	0	0	0	134.2014
1	13	1	2	4		1	0	0	0	0	0	0	0	0	0	155.7942
1	14	1	2	5.5		1	0	0	0	0	0	0	0	0	0	134.0723
1	15	1	2	7		1	0	0	0	0	0	0	0	0	0	301.4872
1	16	1	2	8.5		1	0	0	0	0	0	0	0	0	0	156.0583
1	17	1	2	4		1	0	0	0	0	0	0	0	0	0	144.9189
1	18	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.1961
1	19	1	2	7		1	0	0	0	0	0	0	0	0	0	167.3376
1	20	1	2	8.5		1	0	0	0	0	0	0	0	0	0	145.3365
1	21	1	2	4		1	0	0	0	0	0	0	0	0	0	145.1409
1	22	1	2	5.5		1	0	0	0	0	0	0	0	0	0	167.5877
1	23	1	2	7		1	0	0	0	0	0	0	0	0	0	145.2879
1	24	1	2	8.5		1	0	0	0	0	0	0	0	0	0	134.0139
2	1	1	2	4		1	0	0	0	0	0	0	0	0	0	718.5239
2	2	1	2	5.5		1	0	0	0	0	0	0	0	0	0	246.8544
2	3	1	2	7		1	0	0	0	0	0	0	0	0	0	133.1983
2	4	1	2	8.5		1	0	0	0	0	0	0	0	0	0	135.0965
2	5	1	2	4		1	0	0	0	0	0	0	0	0	0	133.8498
2	6	1	2	5.5		1	0	0	0	0	0	0	0	0	0	156.6795
2	7	1	2	7		1	0	0	0	0	0	0	0	0	0	133.5953
2	8	1	2	8.5		1	0	0	0	0	0	0	0	0	0	134.6466
2	9	1	2	4		1	0	0	0	0	0	0	0	0	0	155.8665
2	10	1	2	5.5		1	0	0	0	0	0	0	0	0	0	144.7547
2	11	1	2	7		1	0	0	0	0	0	0	0	0	0	133.7952
2	12	1	2	8.5		1	0	0	0	0	0	0	0	0	0	134.5812
2	13	1	2	4		1	0	0	0	0	0	0	0	0	0	155.967
2	14	1	2	5.5		1	0	0	0	0	0	0	0	0	0	189.9529
2	15	1	2	7		1	0	0	0	0	0	0	0	0	0	134.0258
2	16	1	2	8.5		1	0	0	0	0	0	0	0	0	0	167.7514
2	17	1	2	4		1	0	0	0	0	0	0	0	0	0	971.7316
2	18	1	2	5.5		1	0	0	0	0	0	0	0	0	0	134.0593
2	19	1	2	7		1	0	0	0	0	0	0	0	0	0	156.1048
2	20	1	2	8.5		1	0	0	0	0	0	0	0	0	0	166.9891
2	21	1	2	4		1	0	0	0	0	0	0	0	0	0	133.9621
2	22	1	2	5.5		1	0	0	0	0	0	0	0	0	0	156.417
2	23	1	2	7		1	0	0	0	0	0	0	0	0	0	179.0777
2	24	1	2	8.5		1	0	0	0	0	0	0	0	0	0	156.1669
