N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.73
1	2	1	1	10.5	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.632
1	3	1	1	1.5	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.435
1	4	1	1	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.379
1	5	1	1	10.5	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.502
1	6	1	1	10.5	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.469
1	7	1	1	6	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	4.892
1	8	1	1	6	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	55.268
1	9	1	1	1.5	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.189
1	10	1	1	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.234
1	11	1	1	6	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.212
1	12	1	1	6	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.468
1	13	1	1	10.5	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.312
1	14	1	1	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	1.072
1	15	1	1	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.357
1	16	1	1	1.5	19.33333	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.569
1	17	1	1	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.502
1	18	1	1	1.5	21.66667	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.425
2	1	1	3	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	43.65
2	2	1	3	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.144
2	3	1	3	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.29
2	4	1	3	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.301
2	5	1	3	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.301
2	6	1	3	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.324
3	1	1	2	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.575
3	2	1	2	6	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.368
3	3	1	2	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	63.21
3	4	1	2	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.123
3	5	1	2	1.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.379
3	6	1	2	10.5	17	1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	0.39
4	1	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	41993.22
4	2	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	289.4106
4	3	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	155.9983
4	4	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	134.1728
4	5	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	122.5877
4	6	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	145.5348
4	7	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	145.1917
4	8	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	122.5996
4	9	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	301.5018
4	10	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	145.4051
4	11	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	145.4829
4	12	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	156.6638
4	13	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	144.6018
4	14	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	145.6617
4	15	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	144.7688
4	16	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	134.31
4	17	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	122.9675
4	18	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	178.0551
4	19	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	156.3629
4	20	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	234.6152
4	21	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	212.4208
4	22	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	200.6552
4	23	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	212.4321
4	24	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	189.5985
5	1	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	2234.5779
5	2	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	367.2285
5	3	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	323.9798
5	4	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	334.6963
5	5	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	357.0328
5	6	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	468.8777
5	7	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	335.1543
5	8	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	323.8616
5	9	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	312.5601
5	10	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	167.9388
5	11	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	334.9426
5	12	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	424.4703
5	13	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	1016.2632
5	14	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	324.3266
5	15	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	167.4575
5	16	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	167.5305
5	17	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	134.028
5	18	1	2	5.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	403.3973
5	19	1	2	7		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	143.6278
5	20	1	2	8.5		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	56.8643
5	21	1	2	4		1	95.63	96.22	112.68	81.58	86.44	105.4	-14.69204	-10.16421	-6.460773	191.6356
