N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	50	1	1	6.949541	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.1
1	51	1	1	8.715596	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.268
1	52	1	1	9.486238	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.146
1	53	1	1	8.426605	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.122
1	54	1	1	8.298165	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.078
1	55	1	1	7.238532	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	56	1	1	6.885321	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	57	1	1	9.871559	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	58	1	1	8.972477	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	59	1	1	8.073395	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.155
1	60	1	1	8.362386	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.29
1	61	1	1	9.582569	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	62	1	1	6.53211	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.145
1	63	1	1	8.651376	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	64	1	1	6.56422	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	65	1	1	7.591743	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	66	1	1	7.816514	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.267
1	67	1	1	9.80734	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.178
1	68	1	1	7.752294	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	69	1	1	7.495413	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	70	1	1	7.334862	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	71	1	1	6.69266	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.279
1	72	1	1	7.559633	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	73	1	1	7.623853	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	74	1	1	8.555046	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	75	1	1	7.431193	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	76	1	1	6.853211	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	77	1	1	7.077981	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	78	1	1	8.522936	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	79	1	1	8.490826	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.2
1	80	1	1	7.399083	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.111
1	81	1	1	8.201835	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.122
1	82	1	1	9.96789	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	83	1	1	7.174312	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	84	1	1	8.330276	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	85	1	1	9.357799	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	86	1	1	7.463303	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.178
1	87	1	1	7.013762	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.113
1	88	1	1	7.912844	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.188
1	89	1	1	7.784404	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.178
1	90	1	1	7.527523	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.089
1	91	1	1	6.788991	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.135
1	92	1	1	8.105505	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.177
1	93	1	1	8.908257	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.179
1	94	1	1	9.068808	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.145
1	95	1	1	7.848624	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.2
1	96	1	1	7.142202	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
1	97	1	1	9.454128	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.2
1	98	1	1	9.678899	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.189
1	99	1	1	7.688073	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.257
1	100	1	1	9.422018	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
1	101	1	1	7.270642	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.212
1	102	1	1	8.266055	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.145
1	103	1	1	9.550459	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.312
1	104	1	1	6.821101	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	105	1	1	6.981651	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.134
