N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	3.25	10	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.483
1	2	1	1	3.25	25	0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.199
1	3	1	1	1.5	15	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.111
1	4	1	1	3.25	20	0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.11
1	5	1	1	3.25	15	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.078
1	6	1	1	1.5	20	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.122
1	7	1	1	3.25	25	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.134
1	8	1	1	3.25	15	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.122
1	9	1	1	1.5	10	0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.1
1	10	1	1	1.5	10	0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.2
1	11	1	1	1.5	20	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.2
1	12	1	1	1.5	25	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.133
1	13	1	1	1.5	15	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.168
1	14	1	1	1.5	25	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.144
1	15	1	1	3.25	20	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.145
1	16	1	1	3.25	10	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.156
2	1	1	1	4		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	701.9398
2	2	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	124.6665
2	3	1	1	7		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	110.9989
2	4	1	1	8.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	133.6617
2	5	1	1	4		0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	66.9168
2	6	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	145.7195
2	7	1	1	7		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	134.0961
2	8	1	1	8.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	145.2808
2	9	1	1	4		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	144.6651
2	10	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	123.1938
2	11	1	1	7		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	134.1593
2	12	1	1	8.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	145.1031
2	13	1	1	4		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	133.5948
2	14	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	134.0956
2	15	1	1	7		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	145.1037
2	16	1	1	8.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	145.1706
2	17	1	1	4		0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	122.6575
2	18	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	123.2932
2	19	1	1	7		0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	111.5581
2	20	1	1	8.5		0	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	167.216
2	21	1	1	4		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	100.7006
2	22	1	1	5.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	156.1696
2	23	1	1	7		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	144.8319
2	24	1	1	8.5		1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	134.1026
3	1	1	2	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.29
3	2	1	2	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.124
3	3	1	2	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.144
3	4	1	2	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.346
