N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	6	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	4.55
1	2	1	1	1.5	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.612
1	3	1	1	1.5	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.413
1	4	1	1	6	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.681
1	5	1	1	10.5	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.558
1	6	1	1	6	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.569
1	7	1	1	10.5	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.58
1	8	1	1	6	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	3.528
1	9	1	1	10.5	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.77
1	10	1	1	1.5	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.692
1	11	1	1	10.5	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.524
1	12	1	1	10.5	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.491
1	13	1	1	1.5	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.446
1	14	1	1	1.5	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.469
1	15	1	1	6	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.48
1	16	1	1	10.5	8.066667	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.468
1	17	1	1	6	0.1	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.468
1	18	1	1	1.5	16.03333	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.491
2	1	1	3	6	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	1.388
2	2	1	3	1.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.771
2	3	1	3	10.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.793
2	4	1	3	10.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.815
2	5	1	3	1.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.747
2	6	1	3	6	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.815
3	1	1	2	6	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.825
3	2	1	2	1.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.414
3	3	1	2	10.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.669
3	4	1	2	1.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.535
3	5	1	2	6	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	1.105
3	6	1	2	10.5	17	1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	0.715
4	1	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	963.6848
4	2	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	582.0438
4	3	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	423.8455
4	4	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	367.9515
4	5	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	558.3026
4	6	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	458.3256
4	7	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	390.7775
4	8	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	167.6187
4	9	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	156.1951
4	10	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	167.6187
4	11	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	212.6515
4	12	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	222.5386
4	13	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	178.6273
4	14	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	178.8931
4	15	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	323.2493
4	16	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	268.2424
4	17	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	178.6268
4	18	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	178.6273
4	19	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	178.6273
4	20	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	223.1583
4	21	1	2	4		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	446.8167
4	22	1	2	5.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	279.1986
4	23	1	2	7		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	290.2056
4	24	1	2	8.5		1	94.54	99.31	106.3	57.36	80.75	79.37	-39.32727	-18.68895	-25.33396	335.239
