N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	4	1	1.5	16.66667	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.614
1	2	4	1	3.25	10	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.122
1	3	4	1	1.5	16.66667	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.139
1	4	4	1	1.5	10	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.14
1	5	4	1	3.25	10	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.137
1	6	4	1	1.5	23.33333	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.13
1	7	4	1	3.25	23.33333	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.275
1	8	4	1	3.25	23.33333	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.145
1	9	4	1	3.25	16.66667	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.145
1	10	4	1	1.5	10	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.145
1	11	4	1	1.5	23.33333	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.159
1	12	4	1	3.25	16.66667	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.125
2	1	4	2	3.25	17	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.445
2	2	4	2	1.5	17	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.138
2	3	4	2	3.25	17	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.113
2	4	4	2	1.5	17	1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	0.144
3	1	4	2	4		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	1005.2172
3	2	4	2	5.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	255.6607
3	3	4	2	7		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	171.623
3	4	4	2	8.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	99.5911
3	5	4	2	4		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	146.1235
3	6	4	2	5.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	124.5876
3	7	4	2	7		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	199.1411
3	8	4	2	8.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	157.613
3	9	4	2	4		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	99.0892
3	10	4	2	5.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	244.7212
3	11	4	2	7		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	199.1897
3	12	4	2	8.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	135.0965
3	13	4	2	4		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	126.1698
3	14	4	2	5.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	147.1051
3	15	4	2	7		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	132.0941
3	16	4	2	8.5		1	132.02	129.54	131.13	113.74	114.92	118.57	-13.84639	-11.28609	-9.578284	312.7238
